product,low_eur_kg,central_eur_kg,high_eur_kg,basis_confidence,notes
08-20-30,0.51,0.62,0.75,modelled low confidence,"Modelled from N-P-K nutrient anchors; rare product in sample."
15-15-15,0.42,0.51,0.61,modelled generic benchmark,"Modelled from N-P-K nutrient anchors; common generic NPK benchmark."
18-46-00,0.50,0.60,0.75,provisional compound range,"DAP-like compound-type range; provisional."
20-08-08,0.34,0.41,0.49,modelled,"Modelled from N-P-K nutrient anchors."
20-08-10,0.35,0.42,0.51,modelled,"Modelled from N-P-K nutrient anchors."
20-10-00,0.31,0.37,0.45,modelled,"Modelled from N-P nutrient anchors."
20-20-0,0.43,0.51,0.62,modelled,"Canonical label merging 20-20-0 and 20-20-00; modelled from N-P nutrient anchors."
40-20-00,,,,unresolved,"Product label requires confirmation before assigning an economic price scenario."
Ammonium sulfate 21%,0.25,0.35,0.50,broad N+S scenario,"Broad scenario for ammonium sulphate represented as 21% ammonium-N."
Nergetic 30,0.35,0.45,0.60,branded wider uncertainty,"Branded nitrogen fertiliser; wider range used for formulation premium and market uncertainty."
Nexur S (38%),0.45,0.58,0.75,branded wider uncertainty,"Branded or stabilised N+S fertiliser; wider range used for formulation premium and market uncertainty."
Nitroagro 40,0.45,0.55,0.70,branded wider uncertainty,"Branded N+S fertiliser; wider range used for formulation premium and market uncertainty."
Urea 46%,0.40,0.50,0.65,strongest anchor,"Anchored to observed 2024 European urea market information and widened for downstream purchasing uncertainty."
Yara Vera Amidas (40%),0.45,0.58,0.75,branded wider uncertainty,"Sulphur-enriched urea-based formulation; wider range used for formulation premium and market uncertainty."
