product,domain,price_unit,quantity_unit,product_unit_per_recorded_unit,low_eur_per_unit,central_eur_per_unit,high_eur_per_unit,basis_confidence,notes
Activus Caps,crop_protection,EUR/L,L,2.20,15,22,30,provisional,"Pendimethalin liquid; recorded dose treated as active-substance-equivalent and converted using an approximate 455 g/L formulation."
Afinto,crop_protection,EUR/kg,kg,1.00,190,235,280,moderate,"Flonicamid product; recorded dose treated as product-equivalent kg for this provisional price layer."
Agixa,crop_protection,EUR/L,L,1.00,50,60,75,moderate,"Treated as recorded product-equivalent dose for this provisional price layer; verify formulation before external use."
Amistar Top,crop_protection,EUR/L,L,2.78,55,68,85,moderate-strong,"Liquid fungicide; recorded dose converted using an approximate 360 g/L product-equivalent concentration."
Aura,crop_protection,EUR/L,L,5.00,150,180,220,strong,"Profoxydim product; 2021 Portuguese rice price anchor converted to a 2024 screening range. Recorded dose converted using 200 g/L."
Avanza,crop_protection,EUR/L,L,2.50,170,210,250,strong,"Benzobicyclon product; 2021 Portuguese rice price anchor converted to a 2024 screening range. Recorded dose converted using an approximate 400 g/L formulation."
Baza,crop_protection,EUR/L,L,2.08,14,18,24,moderate,"Bentazone family product; recorded dose converted using an approximate 480 g/L formulation."
Benta,crop_protection,EUR/L,L,2.08,14,18,24,moderate,"Bentazone family product; recorded dose converted using an approximate 480 g/L formulation."
Beyond,crop_protection,EUR/L,L,44.64,50,65,85,strong,"Assumes the record refers to Beyond Plus; recorded dose converted using an approximate 22.4 g/L imazamox formulation."
Biopower,crop_protection,EUR/L,L,3.61,6,8,12,strong,"Adjuvant family product; recorded dose converted using an approximate 276.5 g/L formulation."
Centium,crop_protection,EUR/L,L,2.78,80,110,150,provisional,"Clomazone product; recorded dose converted using an approximate 360 g/L formulation."
Clincher Plus,crop_protection,EUR/L,L,5.00,35,45,60,moderate,"Cyhalofop-butyl product; recorded dose converted using an approximate 200 g/L formulation."
Command,crop_protection,EUR/L,L,2.78,90,120,150,moderate,"Clomazone product; recorded dose converted using an approximate 360 g/L formulation."
Dash HC,crop_protection,EUR/L,L,6.25,9,12,16,strong,"Adjuvant family product; 2021 Portuguese rice price anchor converted to a 2024 screening range. Recorded dose converted using an approximate 160 g/L product-equivalent concentration."
Dipel DF,crop_protection,EUR/kg,kg,1.00,50,80,120,provisional,"Biological insecticide product; recorded dose treated as product-equivalent kg."
Flint,crop_protection,EUR/kg,kg,1.00,160,195,235,moderate-strong,"Dry fungicide product; recorded dose treated as product-equivalent kg."
Gulliver,crop_protection,EUR/kg,kg,1.00,1800,2300,2800,strong,"2021 Portuguese rice price anchor reported per gram and converted to EUR/kg; recorded dose treated as product-equivalent kg."
Herbinexa,crop_protection,EUR/L,L,2.00,10,17,25,strong,"MCPA product; 2021 Portuguese rice price anchor converted to a 2024 screening range. Recorded dose converted using an approximate 500 g/L formulation."
Kaos,crop_protection,EUR/L,L,2.08,14,18,24,moderate,"Bentazone family product; recorded dose converted using an approximate 480 g/L formulation."
Loyant,crop_protection,EUR/L,L,40.00,75,95,120,strong,"2021 Portuguese rice price anchor converted to a 2024 screening range. Recorded 0.03 kg/ha active-substance-equivalent dose corresponds to approximately 1.2 L/ha."
Montana,crop_protection,EUR/L,L,2.78,4.5,6.5,9,moderate-strong,"Glyphosate family product; recorded dose converted using an approximate 360 g/L formulation where it appears active-substance-equivalent."
Nominee,crop_protection,EUR/L,L,2.50,1000,1400,1800,moderate,"Bispyribac-sodium product; high EUR/L reflects low application volume. Recorded dose converted using an approximate 400 g/L formulation."
Oristar,crop_protection,EUR/L,L,5.00,10,14,20,strong,"Assumes the relevant product is Oristar Plus; recorded dose converted using an approximate 200 g/L profoxydim-equivalent formulation."
Permit,crop_protection,EUR/kg,kg,1.00,750,1000,1300,strong,"2021 Portuguese rice price anchor reported per gram and converted to EUR/kg; recorded dose treated as product-equivalent kg."
Profistar,crop_protection,EUR/L,L,5.00,150,180,220,moderate,"Profoxydim-family product; recorded dose converted using an approximate 200 g/L formulation."
Roundup Ultramax,crop_protection,EUR/L,L,1.00,6,9,13,moderate,"Glyphosate branded product; treated as recorded product-equivalent dose for the single available record."
Satelite,crop_protection,EUR/L,L,1.00,4.5,6.5,9,moderate,"Glyphosate family product; treated as recorded product-equivalent dose for the single available record."
Splash,crop_protection,EUR/L,L,1.00,9,12,16,moderate,"Treated as recorded product-equivalent dose because the notebook label and product-family price anchor require verification."
Teppeki,crop_protection,EUR/kg,kg,1.00,190,245,285,moderate-strong,"Flonicamid product; recorded dose treated as product-equivalent kg."
Touchdown,crop_protection,EUR/L,L,1.00,6,9,13,moderate,"Glyphosate branded product; treated as recorded product-equivalent dose for this provisional price layer."
Verresta,crop_protection,EUR/L,L,10.00,30,40,55,moderate,"Cycloxydim product; recorded dose converted using an approximate 100 g/L formulation."
